Iterations mean,Iterations dev,Cost mean,Cost dev,Accuracy mean,Accuracy dev,Seconds
100.0,0.0,0.697857520942634,0.02910624428176817,0.88,0.18737959096740261,716.1140257450006
25.8,1.7511900715418263,0.4889868505435114,0.006232238120343633,1.0,0.0,296.05366516399954
51.0,4.898979485566356,0.4931289325233966,0.006053483423717992,1.0,0.0,790.0200751379998
18.7,2.4517567397911058,0.4899407387575842,0.008217906728689283,1.0,0.0,365.137814022999
15.9,0.9944289260117533,0.48689129944914017,0.008034216307653885,1.0,0.0,374.87505645200144
39.3,4.4484703987875305,0.4927010663112355,0.006935516807057993,1.0,0.0,1088.5877212060004
12.2,0.7888106377466155,0.48122381971510286,0.013587207882899499,1.0,0.0,387.09896605599897
12.6,1.1737877907772674,0.48296010822218016,0.011030323356534406,1.0,0.0,450.8717484079989
30.6,4.671426144361294,0.48949792336305376,0.006107823182586491,1.0,0.0,1219.1854878860013
9.6,1.6465452046971292,0.48657310067164383,0.0159105019420285,1.0,0.0,421.0574834859999
