Iterations mean,Iterations dev,Cost mean,Cost dev,Accuracy mean,Accuracy dev,Seconds
17.0,0.6666666666666666,0.2875093626351411,0.010663436330834655,1.0,0.0,243.4533951229987
100.0,0.0,0.4076704366608958,0.007729240554537234,0.98,0.04216370213557838,2249.8894022139993
36.7,8.393780766469634,0.2701021340564784,0.05603203054086041,1.0,0.0,1131.7208252460005
26.2,2.3944379994757297,0.2810170725144054,0.025542633220293265,1.0,0.0,1027.671657679999
30.3,3.529242915351047,0.27589639217282014,0.04319236287226707,1.0,0.0,1437.1607635929995
5.1,0.31622776601683794,0.2597154132951397,0.01881288560014599,1.0,0.0,282.48478076300125
8.1,1.66332999331662,0.1942730334040768,0.09288314511623463,1.0,0.0,515.624152280001
12.3,8.014570065407959,0.27189632511520473,0.05721750008325293,1.0,0.0,881.692410402
14.5,3.3082388735465345,0.2909305002818154,0.010498301123305208,1.0,0.0,1155.9398548960016
12.1,0.9944289260117533,0.25491200884160814,0.03253210284817267,1.0,0.0,1061.0033500789978
