Cross iteration,Iteration,Cost,Accuracy
1.0,1.0,0.9558493630324333,0.5
1.0,2.0,0.844754127974769,0.5
1.0,3.0,0.7548403166554527,0.5
1.0,4.0,0.679395786181376,1.0
1.0,5.0,0.6333549375568406,1.0
1.0,6.0,0.6294253787767562,1.0
1.0,7.0,0.6483970439916442,0.8
1.0,8.0,0.6740371819958665,0.6
1.0,9.0,0.7104419918645997,0.5
1.0,10.0,0.7134247417503424,0.5
1.0,11.0,0.6987101485164048,0.5
1.0,12.0,0.6383227059247764,0.6
1.0,13.0,0.5758645329627118,0.8
1.0,14.0,0.5197741141831077,1.0
1.0,15.0,0.5039362171297028,1.0
1.0,16.0,0.5103375470798964,1.0
1.0,17.0,0.528741887292748,1.0
1.0,18.0,0.5722654221677668,0.9
1.0,19.0,0.581532183604287,0.8
1.0,20.0,0.5542826675630205,0.9
1.0,21.0,0.525325080774997,1.0
1.0,22.0,0.4878252330724467,1.0
2.0,1.0,0.9779595710116911,0.6
2.0,2.0,0.8784443073514919,0.6
2.0,3.0,0.789333198486506,0.6
2.0,4.0,0.719688545639225,0.6
2.0,5.0,0.6795254385668063,0.9
2.0,6.0,0.6551748584584516,1.0
2.0,7.0,0.6341280139315859,1.0
2.0,8.0,0.6201382263868956,1.0
2.0,9.0,0.601766874818183,1.0
2.0,10.0,0.5860335574410103,1.0
2.0,11.0,0.5718868162918769,1.0
2.0,12.0,0.559256602946023,1.0
2.0,13.0,0.5521188674716209,1.0
2.0,14.0,0.5545733969023691,1.0
2.0,15.0,0.55921041070144,1.0
2.0,16.0,0.5429975848637586,1.0
2.0,17.0,0.520740108354947,1.0
2.0,18.0,0.506935629139293,1.0
2.0,19.0,0.4951292637999658,1.0
3.0,1.0,0.9620061861929482,0.5
3.0,2.0,0.8509857653668443,0.5
3.0,3.0,0.762300389393976,0.6
3.0,4.0,0.6887044908731048,1.0
3.0,5.0,0.6489431398108075,1.0
3.0,6.0,0.6363397845889931,1.0
3.0,7.0,0.6671302009894821,0.6
3.0,8.0,0.7364175115416216,0.5
3.0,9.0,0.8047019783040139,0.5
3.0,10.0,0.8456998241608632,0.5
3.0,11.0,0.8538846735756259,0.5
3.0,12.0,0.8511799040935749,0.5
3.0,13.0,0.7890520641959184,0.5
3.0,14.0,0.7133336380256321,0.5
3.0,15.0,0.6241710978883176,0.6
3.0,16.0,0.5666491889435556,0.8
3.0,17.0,0.5170380846905762,1.0
3.0,18.0,0.48765751153113945,1.0
4.0,1.0,1.0067531957114464,0.4
