Iterations mean,Iterations dev,Cost mean,Cost dev,Accuracy mean,Accuracy dev,Seconds
100.0,0.0,0.8129518130519473,0.01658959252084361,0.6714285714285714,0.07905694150420949,5785.3771076839985
100.0,0.0,1.0962950979141044,0.012768984185440393,0.6035714285714285,0.0797707884178617,7558.405615203001
100.0,0.0,0.896646679930858,0.009779405666700876,0.625,0.06465940768571557,10162.426304880002
100.0,0.0,0.8956960935004332,0.06211556647330093,0.5839285714285715,0.10682824178385784,12877.890629374997
100.0,0.0,0.8960105024823235,0.009974984319753811,0.6267857142857143,0.05979106668498897,15711.486300064003
100.0,0.0,0.9189551385178044,0.020147583945488625,0.625,0.07386710503565987,18447.772381550007
100.0,0.0,0.9822555197831493,0.04028922418178192,0.6071428571428572,0.0902723267148994,21184.509334275004
100.0,0.0,0.9015878335135569,0.0137531087392429,0.6285714285714286,0.06509630054520149,23905.47203847501
100.0,0.0,0.9037311243469978,0.018145387292283672,0.625,0.06011610082358381,25676.71127390499
100.0,0.0,0.8978913210697215,0.07096222012370926,0.625,0.04980119205559973,27048.401215013
