Cross iteration,Iteration,Cost,Accuracy
1.0,1.0,1.2492348413136751,0.6071428571428571
1.0,2.0,1.2406221107672002,0.6071428571428571
1.0,3.0,1.2310861967911855,0.625
1.0,4.0,1.228490854087222,0.625
1.0,5.0,1.2276379299911548,0.625
1.0,6.0,1.2187563183316368,0.6607142857142857
1.0,7.0,1.2150504275994878,0.6428571428571429
1.0,8.0,1.2099889386097034,0.6428571428571429
1.0,9.0,1.206229134157276,0.6607142857142857
1.0,10.0,1.2001882894378058,0.6428571428571429
1.0,11.0,1.1947515561781912,0.6428571428571429
1.0,12.0,1.190050080838748,0.6428571428571429
1.0,13.0,1.186326915386472,0.6428571428571429
1.0,14.0,1.1831831884107709,0.6428571428571429
1.0,15.0,1.1801514769892696,0.6428571428571429
1.0,16.0,1.1798405954568632,0.6428571428571429
1.0,17.0,1.1839615536897097,0.625
1.0,18.0,1.191894903949951,0.6071428571428571
1.0,19.0,1.1980273621784316,0.5892857142857143
1.0,20.0,1.2007206600345222,0.6071428571428571
1.0,21.0,1.2074401532072736,0.6071428571428571
1.0,22.0,1.2110042051901042,0.6071428571428571
1.0,23.0,1.2165294780005522,0.6071428571428571
1.0,24.0,1.2174466884295607,0.625
1.0,25.0,1.2125864195101608,0.625
1.0,26.0,1.2087243240783268,0.625
1.0,27.0,1.204607087165525,0.625
1.0,28.0,1.2024392303870837,0.6071428571428571
1.0,29.0,1.198884996923264,0.6071428571428571
1.0,30.0,1.1976132175550718,0.6071428571428571
1.0,31.0,1.1918806399468418,0.6071428571428571
1.0,32.0,1.1856387904106749,0.6071428571428571
1.0,33.0,1.1816130217418395,0.6071428571428571
1.0,34.0,1.1786520078665976,0.6071428571428571
1.0,35.0,1.1757502161678586,0.6071428571428571
1.0,36.0,1.1710347354083848,0.6071428571428571
1.0,37.0,1.1670646901705906,0.6071428571428571
1.0,38.0,1.1645658085053623,0.6071428571428571
1.0,39.0,1.1620617272207516,0.6071428571428571
1.0,40.0,1.1598286276830116,0.6071428571428571
