Iterations mean,Iterations dev,Cost mean,Cost dev,Accuracy mean,Accuracy dev,Seconds
100.0,0.0,0.9809315901420271,0.01422418139503716,0.6107142857142858,0.05175491695067658,7939.694673015001
100.0,0.0,1.032237998960692,0.06334387642870487,0.5660714285714286,0.06468679993760551,8076.107024604
100.0,0.0,1.074390421306206,0.08146319731285952,0.5321428571428571,0.0828215577663147,10611.582310623999
100.0,0.0,0.9711041474515585,0.023769421064585287,0.5964285714285714,0.08796644381862458,13468.231262980997
100.0,0.0,0.9571239472856936,0.0183574854084548,0.6178571428571429,0.06023386019368341,16173.947406595005
100.0,0.0,0.9766185851944568,0.033396761614753606,0.5660714285714286,0.07578482039477016,18893.096874484007
100.0,0.0,0.9574646495509378,0.03131108863507205,0.5785714285714286,0.06197340516581128,21611.755803234002
100.0,0.0,0.9468842712223228,0.010978334815605574,0.6,0.0922907021110205,24303.609503567
100.0,0.0,0.9481460437107262,0.024536188099477545,0.6178571428571429,0.049228745543179346,25702.5321176
100.0,0.0,0.9474356082173445,0.0240099303986461,0.5821428571428572,0.034911614996702804,27372.23462130502
