Iterations mean,Iterations dev,Cost mean,Cost dev,Accuracy mean,Accuracy dev,Seconds
100.0,0.0,1.0124519101681182,0.02024580787270406,0.518,0.07390684827688314,4978.405021465995
100.0,0.0,1.0228458746720959,0.0217314718924216,0.516,0.0898393628155894,7794.995586309
100.0,0.0,1.0608979923875927,0.026073972795184103,0.502,0.06957010852370435,10399.576950212999
100.0,0.0,1.0482938872753989,0.023015045036368077,0.496,0.09605553948974867,12645.126151798002
100.0,0.0,1.0392301708366531,0.03493223802862431,0.48,0.08326663997864531,15621.434123599
100.0,0.0,1.025493780900736,0.020703281007039036,0.5680000000000001,0.07899367063252599,18162.983855347004
100.0,0.0,1.0037587068799483,0.017220807215935097,0.524,0.08783823515733656,20879.26828315301
100.0,0.0,1.0389741450287067,0.034724342930534086,0.514,0.07244921593011816,23461.76032554201
100.0,0.0,1.0153569360585266,0.031199663273705488,0.502,0.09162726425881959,26106.507359868032
100.0,0.0,1.005801436207638,0.023995994384890286,0.498,0.056920997883030816,28387.942497094045
