Cross iteration,Iteration,Cost,Accuracy
1.0,1.0,1.2386535526891256,0.58
1.0,2.0,1.2327343833001607,0.56
1.0,3.0,1.2208761063185085,0.56
1.0,4.0,1.1936489650601438,0.62
1.0,5.0,1.1654110772932236,0.6
1.0,6.0,1.1442100320355841,0.6
1.0,7.0,1.1275521926352616,0.58
1.0,8.0,1.1067258249418248,0.56
1.0,9.0,1.0867863402238924,0.56
1.0,10.0,1.0731394870480833,0.56
1.0,11.0,1.0710654048897559,0.56
1.0,12.0,1.073232398737418,0.5
1.0,13.0,1.0786350031560585,0.48
1.0,14.0,1.0797142268460969,0.48
1.0,15.0,1.0771879126865422,0.48
1.0,16.0,1.07689428371387,0.48
1.0,17.0,1.0756526386648126,0.52
1.0,18.0,1.0713722642062264,0.52
1.0,19.0,1.0688033840534417,0.54
1.0,20.0,1.0684553964293053,0.56
1.0,21.0,1.071107655322403,0.56
1.0,22.0,1.0731674590746565,0.56
1.0,23.0,1.0731825112684752,0.56
1.0,24.0,1.0732124065352762,0.56
1.0,25.0,1.0769071241762582,0.56
1.0,26.0,1.0896078247386964,0.56
1.0,27.0,1.099157174015582,0.56
1.0,28.0,1.1002876827418058,0.56
1.0,29.0,1.1019315281808681,0.56
1.0,30.0,1.09239338063084,0.56
1.0,31.0,1.086842788896562,0.56
1.0,32.0,1.081701786182962,0.56
1.0,33.0,1.074218529833187,0.56
1.0,34.0,1.0658226240200988,0.56
1.0,35.0,1.0596969205730737,0.56
1.0,36.0,1.0613971292081463,0.54
1.0,37.0,1.0653270561428496,0.5
1.0,38.0,1.0679216725606484,0.48
1.0,39.0,1.0722222622431905,0.48
1.0,40.0,1.077435290157036,0.46
1.0,41.0,1.0850718965831205,0.48
1.0,42.0,1.0990281134975008,0.5
1.0,43.0,1.108830300487444,0.48
1.0,44.0,1.1117296894917872,0.48
1.0,45.0,1.1100622475440123,0.48
1.0,46.0,1.0986460518223262,0.52
1.0,47.0,1.0887870160115385,0.46
1.0,48.0,1.0792479571547025,0.48
1.0,49.0,1.0778282389115,0.48
1.0,50.0,1.0677896098987496,0.48
1.0,51.0,1.0571433393910972,0.48
1.0,52.0,1.0490713792156163,0.52
1.0,53.0,1.0448027149848074,0.52
1.0,54.0,1.0412056466119874,0.54
1.0,55.0,1.0385561786822817,0.54
1.0,56.0,1.0359574915589982,0.54
1.0,57.0,1.033185781162025,0.56
1.0,58.0,1.0317055487669033,0.56
1.0,59.0,1.0312275502105572,0.56
1.0,60.0,1.0299325934496841,0.56
1.0,61.0,1.0289564705191694,0.56
1.0,62.0,1.0278721341627848,0.56
1.0,63.0,1.0265556992273288,0.56
1.0,64.0,1.0261958456048266,0.56
1.0,65.0,1.02545736259191,0.56
1.0,66.0,1.0243696056990763,0.56
1.0,67.0,1.0226637961384049,0.54
1.0,68.0,1.0214600971462975,0.54
1.0,69.0,1.0207056796124765,0.56
1.0,70.0,1.0196090738369232,0.56
1.0,71.0,1.0186340906132196,0.56
1.0,72.0,1.019219363299531,0.54
1.0,73.0,1.0192318755398744,0.54
1.0,74.0,1.0174042527212064,0.54
1.0,75.0,1.014782370936742,0.54
1.0,76.0,1.0138368032919542,0.54
1.0,77.0,1.015587670627581,0.52
1.0,78.0,1.0162668489653044,0.5
1.0,79.0,1.0157834976165867,0.5
1.0,80.0,1.016536446580682,0.48
1.0,81.0,1.0202793267130974,0.44
1.0,82.0,1.022441666873235,0.46
1.0,83.0,1.0201890783213492,0.46
1.0,84.0,1.0096221802330192,0.5
1.0,85.0,1.002287039188967,0.56
1.0,86.0,1.0011153598032785,0.54
1.0,87.0,1.0006973956094034,0.54
1.0,88.0,1.0004831087230852,0.56
1.0,89.0,1.0005567624079703,0.56
1.0,90.0,1.0003337185309225,0.54
1.0,91.0,1.0002984609247338,0.54
1.0,92.0,1.001363946689825,0.56
1.0,93.0,1.0035909680857449,0.54
1.0,94.0,1.0090493982583224,0.5
1.0,95.0,1.021625263658363,0.42
1.0,96.0,1.044263005480686,0.46
1.0,97.0,1.0634903355486456,0.44
1.0,98.0,1.0776918175906636,0.48
1.0,99.0,1.0962001794147225,0.48
1.0,100.0,1.1046712125652125,0.48
2.0,1.0,1.2532315384264086,0.7
2.0,2.0,1.2257110819530597,0.72
2.0,3.0,1.2127060145058948,0.72
2.0,4.0,1.1983160814709568,0.74
2.0,5.0,1.1969514977767184,0.74
2.0,6.0,1.1880299403708132,0.74
2.0,7.0,1.1770918089660012,0.74
2.0,8.0,1.1669829756178378,0.72
2.0,9.0,1.1415323757651996,0.72
2.0,10.0,1.107437278061821,0.7
2.0,11.0,1.0859359367426022,0.66
2.0,12.0,1.074283607231558,0.66
2.0,13.0,1.0661869396911754,0.64
2.0,14.0,1.0627212987451204,0.64
2.0,15.0,1.0629361231753016,0.64
2.0,16.0,1.0677996630210318,0.62
2.0,17.0,1.0756871577521603,0.64
2.0,18.0,1.0853453803525603,0.64
2.0,19.0,1.0904746582344558,0.64
2.0,20.0,1.0914907377389993,0.64
2.0,21.0,1.0815982822940204,0.66
2.0,22.0,1.074812230620263,0.64
2.0,23.0,1.0626581093565943,0.62
2.0,24.0,1.0566984242962187,0.64
2.0,25.0,1.0540255134899286,0.64
2.0,26.0,1.0532832066014903,0.64
2.0,27.0,1.0541780999680554,0.66
2.0,28.0,1.0526688730268086,0.66
2.0,29.0,1.050283247695675,0.66
2.0,30.0,1.0481730977577812,0.66
2.0,31.0,1.0470477369112383,0.66
2.0,32.0,1.0471460602694274,0.66
2.0,33.0,1.0454289961291998,0.66
2.0,34.0,1.042897265264715,0.66
2.0,35.0,1.041715592451962,0.66
2.0,36.0,1.0399194269285468,0.66
2.0,37.0,1.0394829480115741,0.66
2.0,38.0,1.0360475599412802,0.66
2.0,39.0,1.0328488140848233,0.66
2.0,40.0,1.0287887749018272,0.66
2.0,41.0,1.0264869569489632,0.64
2.0,42.0,1.0264999573552056,0.64
2.0,43.0,1.0328045136971926,0.64
2.0,44.0,1.0343205527458113,0.62
2.0,45.0,1.031662095820463,0.64
2.0,46.0,1.0300913590663783,0.64
2.0,47.0,1.0275872706887026,0.64
2.0,48.0,1.0224664730008788,0.66
2.0,49.0,1.0188692623473774,0.64
2.0,50.0,1.0167117159204833,0.64
2.0,51.0,1.0164497493824616,0.66
2.0,52.0,1.01708642283923,0.66
2.0,53.0,1.0173574612861123,0.68
2.0,54.0,1.0193151216083156,0.7
2.0,55.0,1.0221849342793679,0.68
2.0,56.0,1.0259299301758964,0.72
2.0,57.0,1.0251685820661975,0.72
2.0,58.0,1.024376029745315,0.72
2.0,59.0,1.0198940935078633,0.7
2.0,60.0,1.0163186015788295,0.7
2.0,61.0,1.0153471205700526,0.68
2.0,62.0,1.016539877483501,0.7
2.0,63.0,1.017350920945846,0.72
2.0,64.0,1.0140321182519514,0.72
2.0,65.0,1.0155336704649627,0.72
2.0,66.0,1.014972830388961,0.7
2.0,67.0,1.0182931219419198,0.72
2.0,68.0,1.0264762866757533,0.74
2.0,69.0,1.0361624912400953,0.72
2.0,70.0,1.047465902185181,0.74
2.0,71.0,1.0567705608034461,0.72
2.0,72.0,1.0709391974649198,0.68
2.0,73.0,1.0890664123662568,0.68
2.0,74.0,1.0849856039612127,0.68
2.0,75.0,1.0811112373873297,0.68
2.0,76.0,1.0702745842467092,0.68
2.0,77.0,1.050407150348761,0.68
2.0,78.0,1.0295164784273152,0.72
2.0,79.0,1.015152182141818,0.74
2.0,80.0,1.0018428230548198,0.74
2.0,81.0,0.9972411897699127,0.68
2.0,82.0,1.0037272834746742,0.5
2.0,83.0,1.0164228520252778,0.46
2.0,84.0,1.0341899650851623,0.38
2.0,85.0,1.06065862614441,0.38
2.0,86.0,1.0731995247027186,0.38
2.0,87.0,1.0834172500214074,0.38
2.0,88.0,1.0919094202717956,0.38
2.0,89.0,1.081663791580503,0.38
2.0,90.0,1.064120254031434,0.38
2.0,91.0,1.0499641732779592,0.38
2.0,92.0,1.0341640811897523,0.38
2.0,93.0,1.0276089819017895,0.38
2.0,94.0,1.0226263933439315,0.4
2.0,95.0,1.0127321295581209,0.48
2.0,96.0,1.0070143851469473,0.48
2.0,97.0,1.0040911170654805,0.5
2.0,98.0,1.002393716287373,0.52
2.0,99.0,1.0014298899992102,0.52
2.0,100.0,1.0047909384608953,0.5
3.0,1.0,1.25350448522303,0.58
3.0,2.0,1.2467692146506986,0.58
3.0,3.0,1.2511875297403696,0.58
3.0,4.0,1.2359112077620031,0.58
3.0,5.0,1.2054891479287972,0.56
3.0,6.0,1.1887454075750383,0.56
3.0,7.0,1.1814163392176056,0.54
3.0,8.0,1.1691085460704307,0.54
3.0,9.0,1.1599177823412026,0.56
3.0,10.0,1.148979916601541,0.54
3.0,11.0,1.1422825145283675,0.52
3.0,12.0,1.1303748758299335,0.54
3.0,13.0,1.1140866484893452,0.5
3.0,14.0,1.0957900634638127,0.54
3.0,15.0,1.085269662565368,0.56
3.0,16.0,1.0799853166195605,0.56
3.0,17.0,1.075222362883609,0.58
3.0,18.0,1.072656231199537,0.58
3.0,19.0,1.070570968259183,0.58
3.0,20.0,1.0682776820196782,0.58
3.0,21.0,1.0671014404668746,0.58
3.0,22.0,1.068255967054661,0.58
3.0,23.0,1.0722906700461061,0.56
3.0,24.0,1.0796855606538427,0.56
3.0,25.0,1.0849358458510296,0.54
3.0,26.0,1.094608701660029,0.5
3.0,27.0,1.0919344354416023,0.5
3.0,28.0,1.0874740289897211,0.5
3.0,29.0,1.0837785051549806,0.54
3.0,30.0,1.0766847320751007,0.54
3.0,31.0,1.0727534566252006,0.56
3.0,32.0,1.073766890034238,0.56
3.0,33.0,1.0696518693982966,0.56
3.0,34.0,1.0607409487501542,0.58
3.0,35.0,1.0551114427700574,0.58
3.0,36.0,1.0533864992411048,0.56
3.0,37.0,1.0556052517303378,0.58
3.0,38.0,1.0573161340900203,0.58
3.0,39.0,1.0570137093839715,0.58
3.0,40.0,1.0557902082836461,0.58
3.0,41.0,1.0547587908208822,0.58
3.0,42.0,1.0564135770399994,0.58
3.0,43.0,1.0575216566704484,0.56
3.0,44.0,1.0568808932026923,0.56
3.0,45.0,1.056024329917745,0.56
3.0,46.0,1.05597500306721,0.56
3.0,47.0,1.0615535562470237,0.56
3.0,48.0,1.066210285680584,0.54
3.0,49.0,1.0696021068345904,0.54
3.0,50.0,1.0668372794310523,0.54
3.0,51.0,1.0642350938691587,0.54
3.0,52.0,1.0618943137692585,0.54
3.0,53.0,1.0614698603736665,0.54
3.0,54.0,1.0651104257717479,0.54
3.0,55.0,1.0672102104717218,0.54
3.0,56.0,1.0714074968570702,0.54
3.0,57.0,1.0663750383669424,0.52
3.0,58.0,1.057591836716782,0.54
3.0,59.0,1.0440469211245396,0.56
3.0,60.0,1.0365290121414124,0.58
3.0,61.0,1.0348092861981943,0.58
3.0,62.0,1.0376362476003909,0.56
3.0,63.0,1.0446174855530979,0.54
3.0,64.0,1.0527212502563883,0.52
3.0,65.0,1.0584474449635308,0.52
3.0,66.0,1.0554294699486901,0.52
3.0,67.0,1.0509803804665843,0.5
3.0,68.0,1.0485385254436053,0.5
3.0,69.0,1.0440725147671832,0.52
3.0,70.0,1.0374117054346534,0.5
3.0,71.0,1.034946494346825,0.5
3.0,72.0,1.0331562018562868,0.5
3.0,73.0,1.0338595792106782,0.52
3.0,74.0,1.030002301480479,0.5
3.0,75.0,1.024337904889725,0.5
3.0,76.0,1.0200869339641288,0.52
3.0,77.0,1.017295486020827,0.54
3.0,78.0,1.0169457452454571,0.52
3.0,79.0,1.0165275695294818,0.5
3.0,80.0,1.017655454933677,0.5
3.0,81.0,1.021130192707063,0.52
3.0,82.0,1.0192754884778894,0.52
3.0,83.0,1.0191818072720484,0.5
3.0,84.0,1.0197399375822218,0.52
3.0,85.0,1.0146267178766297,0.52
3.0,86.0,1.013370189888559,0.52
3.0,87.0,1.0173786141162622,0.52
3.0,88.0,1.0185505058417181,0.52
3.0,89.0,1.0231417308700708,0.52
3.0,90.0,1.024110093969851,0.52
3.0,91.0,1.0221990141812558,0.52
3.0,92.0,1.0204375544139996,0.52
3.0,93.0,1.023255724542935,0.52
3.0,94.0,1.022892700025996,0.52
3.0,95.0,1.0176407476593907,0.52
3.0,96.0,1.0096964049003294,0.52
3.0,97.0,1.0051194161771029,0.54
3.0,98.0,1.0013901170774504,0.54
3.0,99.0,1.0001100656944866,0.56
3.0,100.0,0.9989763176901321,0.56
4.0,1.0,1.2323638906499157,0.52
4.0,2.0,1.2022483396617125,0.5
4.0,3.0,1.1662900176515203,0.5
4.0,4.0,1.1437319195345619,0.5
4.0,5.0,1.1165230095987928,0.48
4.0,6.0,1.09355171781233,0.5
4.0,7.0,1.0802170307949388,0.5
4.0,8.0,1.0725848872744554,0.5
4.0,9.0,1.0695346913693418,0.5
4.0,10.0,1.0709039925520882,0.46
4.0,11.0,1.077096961026351,0.44
4.0,12.0,1.087512211327889,0.44
4.0,13.0,1.0939998588359314,0.44
4.0,14.0,1.1014170041749178,0.46
4.0,15.0,1.1157961405708219,0.5
4.0,16.0,1.1193396090076289,0.48
4.0,17.0,1.127001721713118,0.48
4.0,18.0,1.116546767085448,0.48
4.0,19.0,1.1100654640389414,0.5
4.0,20.0,1.1024466204682877,0.48
4.0,21.0,1.094226234877676,0.44
4.0,22.0,1.0877744828091458,0.44
4.0,23.0,1.0842572295466995,0.44
4.0,24.0,1.0776060204338884,0.44
4.0,25.0,1.0773945243532987,0.44
4.0,26.0,1.0796707254435511,0.44
4.0,27.0,1.0863958110326033,0.44
4.0,28.0,1.087114293748483,0.44
4.0,29.0,1.0912378558117872,0.44
4.0,30.0,1.096765542908495,0.48
4.0,31.0,1.1099061956569574,0.48
4.0,32.0,1.1178736853322102,0.48
4.0,33.0,1.1282262236944474,0.48
4.0,34.0,1.1390017745967267,0.46
4.0,35.0,1.1330295908227976,0.46
4.0,36.0,1.1185989922748707,0.48
4.0,37.0,1.0967662318797406,0.5
4.0,38.0,1.081787957417784,0.44
4.0,39.0,1.0759113509510152,0.44
4.0,40.0,1.0757849133873967,0.44
4.0,41.0,1.0778961390573967,0.44
4.0,42.0,1.071138068739973,0.44
4.0,43.0,1.0608272621957051,0.44
4.0,44.0,1.0560058890677315,0.46
4.0,45.0,1.0538392354011803,0.46
4.0,46.0,1.0512242143880122,0.46
4.0,47.0,1.0494722250342494,0.48
4.0,48.0,1.0483520771166674,0.48
4.0,49.0,1.0462083997397886,0.48
4.0,50.0,1.0442260992965076,0.5
4.0,51.0,1.0433859155792,0.5
4.0,52.0,1.045412820785652,0.5
4.0,53.0,1.0481640155117942,0.52
4.0,54.0,1.0497610411541451,0.5
4.0,55.0,1.0470415703831497,0.5
4.0,56.0,1.0425178632479406,0.5
4.0,57.0,1.0397122155452432,0.48
4.0,58.0,1.0365212782609912,0.5
4.0,59.0,1.0353389851399502,0.5
4.0,60.0,1.0354597286376759,0.48
4.0,61.0,1.0363454469873963,0.48
4.0,62.0,1.0384862184787214,0.44
4.0,63.0,1.0452814947158688,0.44
4.0,64.0,1.0528297512590454,0.44
4.0,65.0,1.0646637337886966,0.48
4.0,66.0,1.0672473529354254,0.5
4.0,67.0,1.0602606889992472,0.46
4.0,68.0,1.0499038545513988,0.44
