Iterations mean,Iterations dev,Cost mean,Cost dev,Accuracy mean,Accuracy dev,Seconds
100.0,0.0,1.0091464753727497,0.012663567044024902,0.498,0.061427463998877024,4882.934745961975
100.0,0.0,1.1081535989305895,0.03643084547713237,0.492,0.07130529043797833,7710.2496785649855
100.0,0.0,1.0684674509832757,0.044493924742105624,0.536,0.0893432830280051,10328.228731082985
100.0,0.0,1.0164203100764793,0.014891923928661632,0.55,0.08705043238133729,12660.162477691978
100.0,0.0,1.0177001755164437,0.032254294648594535,0.522,0.06562519841239847,15579.883829222992
100.0,0.0,1.0757941842002463,0.1273015567952271,0.516,0.09743373816770723,18173.119338904013
100.0,0.0,1.018247091681595,0.02345608281449515,0.478,0.07330302403948512,20919.622801288002
100.0,0.0,1.01693658351965,0.018626889372017078,0.524,0.0722956891292051,23503.58853728301
100.0,0.0,1.0472419551703516,0.023498959631476458,0.544,0.06518350166176168,26135.512430195988
100.0,0.0,1.0283081822935276,0.031578432238642956,0.5,0.0699205898780101,28506.997805712046
