Cross iteration,Iteration,Cost,Accuracy
1.0,1.0,1.0351437168140831,0.4
1.0,2.0,1.0346007897923122,0.44
1.0,3.0,1.0337847394349582,0.48
1.0,4.0,1.0330781166265255,0.5
1.0,5.0,1.0324125165819114,0.5
1.0,6.0,1.0315895679612455,0.54
1.0,7.0,1.0305866443180052,0.52
1.0,8.0,1.029846045138395,0.52
1.0,9.0,1.0286715681847742,0.48
1.0,10.0,1.0279600911959768,0.48
1.0,11.0,1.0282859275273324,0.5
1.0,12.0,1.0304695921714977,0.54
1.0,13.0,1.0314875947461712,0.52
1.0,14.0,1.032509530013624,0.48
1.0,15.0,1.0355586499812692,0.48
1.0,16.0,1.0395807529646681,0.46
1.0,17.0,1.044976004493778,0.46
1.0,18.0,1.0478409146864194,0.46
1.0,19.0,1.0477106086948955,0.46
1.0,20.0,1.0426489720582224,0.48
1.0,21.0,1.032913412087931,0.5
1.0,22.0,1.0241570797415451,0.48
1.0,23.0,1.019878212859061,0.48
1.0,24.0,1.0183187507139717,0.56
1.0,25.0,1.0174898525202154,0.5
1.0,26.0,1.0179798442476355,0.48
1.0,27.0,1.0197029795815968,0.46
1.0,28.0,1.0195046177357883,0.46
1.0,29.0,1.0180216105415187,0.44
1.0,30.0,1.0170148766502831,0.46
1.0,31.0,1.0153515640270623,0.44
1.0,32.0,1.0147628247180602,0.46
1.0,33.0,1.0150608610007184,0.44
1.0,34.0,1.0158095848859559,0.48
1.0,35.0,1.0150128195393637,0.48
1.0,36.0,1.0126345112786495,0.48
1.0,37.0,1.0098517118871442,0.5
1.0,38.0,1.0085079996858934,0.56
1.0,39.0,1.0093798928907947,0.54
1.0,40.0,1.0107568304401098,0.48
1.0,41.0,1.0161813744601362,0.46
1.0,42.0,1.0236576694149584,0.46
1.0,43.0,1.030020941705089,0.5
1.0,44.0,1.0430499476598292,0.52
1.0,45.0,1.0618276334249837,0.52
1.0,46.0,1.0771202837604938,0.5
1.0,47.0,1.077142025466072,0.5
1.0,48.0,1.0635352861618028,0.52
1.0,49.0,1.0514009649126959,0.54
1.0,50.0,1.0492072311934222,0.54
1.0,51.0,1.0443361086056646,0.56
1.0,52.0,1.0431373396231927,0.56
1.0,53.0,1.0429008252141694,0.56
1.0,54.0,1.04371962751569,0.56
1.0,55.0,1.040184845148646,0.56
1.0,56.0,1.0365899219096948,0.56
1.0,57.0,1.0328704554226875,0.6
1.0,58.0,1.0269549683416994,0.6
1.0,59.0,1.017540573897011,0.54
1.0,60.0,1.012740718119765,0.52
1.0,61.0,1.010987628437636,0.52
1.0,62.0,1.0122188347221548,0.52
1.0,63.0,1.0154484835611477,0.56
