Iterations mean,Iterations dev,Cost mean,Cost dev,Accuracy mean,Accuracy dev,Seconds
100.0,0.0,0.47496351474444903,0.013003476292961507,0.414,0.06619835513230085,7489.538690686999
100.0,0.0,0.3072333072418888,0.07139461511562772,0.477,0.06254775952999612,8871.29076507
100.0,0.0,0.36740478732408444,0.010949380779709528,0.464,0.0748628375393589,11684.03754493
100.0,0.0,0.3105061542817231,0.04038838517961009,0.478,0.054528280124476095,14578.415767252998
100.0,0.0,0.34240829087612523,0.04951686409664317,0.45899999999999996,0.06967384333050994,17410.663449500993
100.0,0.0,0.31429947137240266,0.03966591598630948,0.467,0.05812821078348179,20287.428047133
100.0,0.0,0.27216680244493363,0.015331499031238129,0.498,0.046139883927995395,23317.05150016499
100.0,0.0,0.3041123926387872,0.045772773317255565,0.479,0.07415449338299661,26155.658884021002
100.0,0.0,0.273335622111552,0.017564660831781088,0.496,0.06221825384170719,26679.656518440024
100.0,0.0,0.33004694340491,0.02482733238710175,0.459,0.04175324338699132,29628.615179887012
