Iterations mean,Iterations dev,Cost mean,Cost dev,Accuracy mean,Accuracy dev,Seconds
100.0,0.0,0.7145560737655355,0.016408980284588114,0.358,0.04516635916254486,5065.8817270029995
100.0,0.0,0.4628781671137574,0.010739960003586482,0.399,0.05989806155275625,8625.292845348
100.0,0.0,0.41685280357630883,0.11098720769934546,0.424,0.06818276093624319,8205.055647239002
100.0,0.0,0.3642902569731069,0.05544289112590376,0.453,0.03653004851412662,10069.707898757999
100.0,0.0,0.4732021812922758,0.024413902854415803,0.401,0.04998888765404656,11981.896068736001
100.0,0.0,0.28791302756074,0.04964654595497444,0.493,0.06290204024248075,13899.185497204002
100.0,0.0,0.26769417381730404,0.01519257567040849,0.498,0.05329165037789692,15785.739188745996
100.0,0.0,0.3925211576238963,0.05727586895152694,0.43,0.06018490028422596,17699.485187984
100.0,0.0,0.2790982496865337,0.01136231205045905,0.5,0.03231786571610887,19585.55738231899
100.0,0.0,0.2767848417481263,0.02699182548969733,0.482,0.03823901439919997,21310.78477542801
