Iterations mean,Iterations dev,Cost mean,Cost dev,Accuracy mean,Accuracy dev,Seconds
100.0,0.0,0.38349990981931187,0.011821601657624753,0.458,0.055737479909542635,5307.720997372
100.0,0.0,0.4023162932526171,0.06588967346827819,0.457,0.05207899981971834,8274.768320603
100.0,0.0,0.31731965107710997,0.008339309489898795,0.466,0.061680178699842034,7978.838137575
100.0,0.0,0.3336849664789657,0.012353897686575242,0.474,0.05146735750831677,9893.451845459997
100.0,0.0,0.300660511314829,0.019888723385926805,0.492,0.044919681407794704,11806.914127692005
100.0,0.0,0.31335797436590906,0.013748226356359753,0.465,0.051044642770378526,13755.467824467996
100.0,0.0,0.32366724340017433,0.031064883177153908,0.46699999999999997,0.058319045869347955,15669.364460172
100.0,0.0,0.3035763089896098,0.026429895052102827,0.488,0.030840089349921017,17612.712866446003
100.0,0.0,0.30910536829761415,0.019592599688520843,0.475,0.037490739597339985,19535.087638419005
100.0,0.0,0.317504320059086,0.029933818268471753,0.473,0.049899899799498604,21365.9774092
